name,domain,tier,model,description,capabilities,tools,related-agents,not-my-scope,maxTurns,permissionMode
"marketing-analyst","operator","execution","sonnet","Use when analyzing marketing performance data, building attribution models, creating dashboards, or providing campaign optimization insights. Also handles SEO: keyword research, on-page audits, technical SEO, and link strategy. Consolidated agent supporting two modes: analytics (default), seo. Set metadata.mode or pass mode=<value> in the invocation.","marketing_analytics;attribution;dashboards;roi_analysis;predictive_modeling;customer_segmentation;marketing_mix_modeling;statistical_analysis;keyword_research;search_intent_classification;serp_analysis;keyword_difficulty_scoring;long_tail_discovery;semantic_clustering;on_page_audit;title_meta_optimization;heading_hierarchy_analysis;schema_markup_validation;image_seo;content_quality_eeat;technical_seo_audit;core_web_vitals;crawlability_audit;indexation_audit;js_rendering_diagnosis;ai_crawler_management;hreflang_audit;internal_linking_architecture;backlink_profile_analysis;link_prospecting;anchor_diversity_audit;toxic_link_detection;competitor_link_gap;disavow_strategy","","","","30",""
"marketing-strategist","operator","controller","opusplan","Leads marketing strategy across lenses — GTM/positioning/multi-channel planning (strategy), brand, creative-direction, growth experiments, martech ops, and partnerships. Use for marketing planning, brand, growth, or campaign coordination. Modes: strategy, brand, creative-direction, growth, ops, partnership. Set metadata.mode. NOT for: marketing analytics/attribution/SEO execution (use marketing-analyst) or sales strategy (use sales-strategist).","gtm;positioning;campaign_planning;brand_strategy;creative_direction;growth_experiments;martech;partnerships;marketing_strategy;competitive_analysis;market_research;strategic_planning;go_to_market;campaign_execution;performance_optimization;multi_channel_coordination;product_positioning;launch_planning;sales_enablement;seo_strategy;search_audit_orchestration;keyword_strategy;geo_readiness;brand_identity;brand_guidelines;brand_voice;creative_strategy;visual_design;brand_expression;campaign_creative;growth_experiments;funnel_optimization;viral_mechanics;rapid_testing;marketing_automation;lead_management;martech_stack;campaign_operations;co_marketing;partner_enablement;alliance_marketing;channel_programs;affiliate_program_design;influencer_campaigns","","","","40",""
"market-research-analyst","analyst","execution","sonnet","Researches markets and captures requirements — market sizing/segmentation, industry-trend and strategic-intelligence research, competitor monitoring/battle-cards/win-loss, and requirements elicitation, BRDs, acceptance criteria, and solution design. Use for market research, competitive intelligence, or business-requirements/BRD/elicitation work. Modes: market, business-research, competitive, requirements. Set metadata.mode. NOT for: quantitative modeling/BI (use data-scientist) or product backlog decisions (use product-owner).","market_research;customer_research;industry_analysis;market_sizing;survey_design;focus_groups;competitive_research;research_methodology;data_gathering;synthesis_analysis;report_writing;competitor_analysis;competitive_monitoring;win_loss_analysis;competitive_positioning;battle_cards;requirements_analysis;process_analysis;solution_design;stakeholder_management;requirements_gathering;gap_analysis;acceptance_criteria;business_case_development","","","","",""
"medical-advisor","advisor","execution","sonnet","Provides health information and mental-health support — clinical/symptom research, differential diagnosis, medical literature, and CBT/DBT techniques, psychoeducation, crisis resources, and coping strategies. Use for medical or mental-health questions. Modes: medical, mental-health. Set metadata.mode. NOT a substitute for professional care. NOT for: personal/career/finance coaching (use life-coach) or academic medical-literature synthesis (use scholar).","symptom_analysis;treatment_research;medical_literature;health_education;differential_diagnosis_support;clinical_reference;cbt_techniques;dbt_skills;psychoeducation;crisis_resources;coping_strategies;therapy_modality_education;emotional_wellness","","","","30",""
"narrative-director","writer","controller","opusplan","Directs narrative and story craft — creative vision and cross-agent direction, story structure and multi-act design, scene/sequel pacing and information revelation, and twist/escalation mechanics. Use for story direction, structure, pacing, or plot work. Modes: direct, architecture, reading-experience, plot. Set metadata.mode. NOT for: prose line/copy editing (use editor) or world/character/dialogue building (use worldbuilder).","creative_vision_and_direction;tonal_control_and_calibration;cross_agent_creative_coordination;quality_calibration_and_editorial_instinct;creative_brief_development;creative_risk_assessment;narrative_architecture;feedback_and_revision_direction;structural_analysis;multi_act_design;genre_structure;nonlinear_architecture;series_planning;ensemble_structure;pov_architecture;scene_sequel_design;mru_construction;opening_strategy;chapter_architecture;transition_craft;information_revelation;narrative_momentum;pacing_engineering;plot_structure_design;twist_engineering;subplot_architecture;midpoint_craft;escalation_theory;climax_construction;foreshadowing_systems","","","","40",""
"operations-manager","operator","controller","opusplan","Use when optimizing operational processes, managing projects, improving efficiency, coordinating agile teams, managing procurement or supply chain, or quality management. Operations hub across six coherent specialties — pass mode=<value> or use keywords to activate the right one. NOT for: meeting notes / decision logs / documentation (use technical-writer), or budgets / financial analysis / forecasting (use cfo or data-scientist).","operations_planning;process_management;performance_optimization;continuous_improvement;agile_coaching;project_management;procurement_sourcing;supply_chain_optimization;quality_management","","","","40",""
"optimizer","core","infrastructure","opusplan","Use when a workflow needs performance tuning, token reduction, or execution path optimization across pipeline stages.","parallel_execution;atomic_rollback;predictive_impact;pattern_detection;framework_specific;quality_gates;cross_file_analysis;session_resilience","","","","50",""
"orchestrator","core","infrastructure","opus","Use when enriching request context at pipeline start, detecting domain and complexity, or preparing enriched_context.yaml for downstream agents.","phase_control;workflow_coordination;checkpoint_resume;inventory_management;adaptive_execution;team_mode_support","","","","50",""
"planner","core","infrastructure","opus","Use when creating plan.yaml + work_items.yaml in the v12 collapsed pipeline. Absorbs task-decomposer responsibilities: aggressive decomposition, implicit discovery, dependency mapping, controller selection. (v12.6.0: delegation_prompts.yaml emission removed; controllers use standard delegation prompts.)","aggressive_decomposition;implicit_discovery;dependency_mapping;work_item_generation;controller_selection;delegation_prompt_crafting","","","","40",""
"product-owner","strategist","controller","opusplan","Owns product decisions — feature prioritization, backlog, roadmaps, OKRs, go/no-go, and scope tradeoffs. Use for what-to-build-and-when. Modes: product, roadmap, okr. Set metadata.mode. NOT for: company/market strategy (use strategic-planner) or game systems design (use game-designer).","product_vision;product_strategy;backlog_prioritization;feature_prioritization;feature_decisions;scope_management;scope_tradeoffs;business_value_assessment;stakeholder_alignment;roadmap_planning;mvp_definition;feature_definition;acceptance_criteria;build_vs_buy_decisions;resource_allocation_decisions;release_planning;market_analysis;competitive_analysis;go_no_go_decisions;dependency_mapping;timeline_visualization;okr_planning;objective_setting;key_result_definition;okr_tracking","","","","40",""
"qa-lead","developer","controller","opusplan","Owns quality — test strategy and coverage gates, code review, standards/style audits, WCAG accessibility, and Playwright E2E. Use to review code or plan/verify coverage. Modes: coordinate, code-review, standards-audit, a11y, playwright. Set metadata.mode. NOT for: acceptance-criteria pipeline gating (use reviewer/validator) or security-specific audits (use security-engineer).","tactical_planning_qa;test_strategy_design;test_implementation;test_automation;quality_gate_enforcement;unit_testing;integration_testing;e2e_testing;performance_testing;security_testing;parallel_code_review;framework_pattern_review;confidence_scoring;enhanced_auto_fix;diff_aware_review;style_checking;convention_enforcement;best_practices;code_quality;wcag_compliance;accessibility_checking;a11y_validation;aria_review;browser_automation;flaky_test_diagnosis;playwright_ci_integration","","","","40",""
"reviewer","core","execution","sonnet","Use when validating work item outputs against acceptance criteria, performing spec compliance checks, or conducting code quality review in controller loops.","acceptance_criteria_evaluation;cross_domain_review;evidence_based_assessment;revision_feedback","","","","15",""
"router","core","infrastructure","opus","Use when classifying request complexity into tiers 2-4, detecting domain from keywords, or routing to the appropriate controller catalog.","tier_classification;template_matching;controller_requirement;scope_adjustment","","","","15",""
"sales-strategist","operator","controller","opusplan","Drives sales from strategy to close — GTM/ICP/territories/comp design (strategy), full-cycle prospecting-to-close (rep), playbooks/battlecards/training (enablement), and revenue operations (revops). Use for sales strategy, frontline selling, enablement, or revops. Modes: strategy, rep, enablement, revops. Set metadata.mode. NOT for: marketing strategy/demand gen (use marketing-strategist) or customer retention/success (use support-director).","gtm_strategy;market_segmentation;competitive_positioning;sales_model_design;outbound_prospecting;lead_qualification;opportunity_management;demos;negotiation;closing;high_velocity_sales;sales_enablement;playbook_creation;content_development;training_design;revenue_alignment;systems_integration;revenue_analytics;process_automation","","","","40",""
"scholar","analyst","execution","sonnet","Conducts academic research and coordinates science — literature search/synthesis via OpenAlex and academic writing, citation-network analysis, adversarial methodology critique (ROBUST/WEAK/INVALID), and cross-domain STEM coordination. Use for scholarly research, citation analysis, methodology review, or multi-discipline science questions. Modes: scholarship, citation-graph, methodology, science-coord. Set metadata.mode. NOT for: market/business research (use market-research-analyst) or social-science discipline analysis (use social-scientist).","academic_literature_search;openalex_query;citation_lookup;doi_resolution;abstract_retrieval;prisma_methodology;source_screening;thematic_synthesis;gap_analysis;reference_management;narrative_review;systematic_review;academic_paper_writing;research_proposal_writing;grant_writing;apa_mla_chicago_citation;citation_network_construction;centrality_analysis;co_citation_clustering;echo_chamber_detection;key_reference_identification;retraction_propagation_tracking;sample_size_evaluation;statistical_power_analysis;control_group_design_critique;bias_identification;confounding_variable_detection;p_hacking_detection;replication_crisis_awareness;validity_threat_assessment;scientific_coordination;research_methodology;cross_domain_synthesis;experimental_design","","","","40",""
"security-engineer","developer","controller","sonnet","Hardens systems and audits for vulnerabilities — controls, pentest, threat modeling, and OWASP/LLM/ASVS code audits. Use for security work: secrets, injection, auth bypass, agentic-AI risk. Modes: harden, coordinate, owasp-audit. Set metadata.mode. NOT for: general code quality (use qa-lead) or infra provisioning (use devops-engineer).","vulnerability_assessment;secure_coding;auth_review;threat_analysis;owasp_top10_assessment;encryption_review;secrets_management;penetration_testing;vulnerability_scanning;security_review;owasp_compliance;secrets_detection;threat_modeling;security_architecture_review;compliance_auditing;owasp_top_10_audit;asvs_compliance_check;llm_security_review;agentic_ai_security;secure_code_pattern_detection;language_specific_anti_pattern_scan","","","","40",""
"self-correct","core","infrastructure","opus","Use when an agent is stuck, when 3+ tool failures occur in sequence, or when the 6-step recovery ladder needs activation.","validation_fix;coordination_correction;auto_recovery;pattern_learning;subagent_recovery","","","","40",""
"social-scientist","analyst","execution","sonnet","Applies empirical social-science method — literature synthesis, qualitative/quantitative analysis, theory application — across five disciplines. Use for economics, history, linguistics, political-science, or psychology questions; name the discipline in the request. Modes: economics, history, linguistics, politics, psychology. Set metadata.mode. NOT for: market/business research (use market-research-analyst) or academic paper search/PRISMA reviews (use scholar).","economic_modeling;policy_analysis;market_analysis;behavioral_economics;cost_benefit_analysis;trade_theory;historical_research;source_evaluation;historiography;period_expertise;causal_analysis;archival_interpretation;linguistic_analysis;phonology;syntax_analysis;language_documentation;sociolinguistics;etymology;geopolitical_risk;governance_frameworks;electoral_analysis;comparative_politics;international_relations;psychological_assessment;behavioral_analysis;developmental_psychology;cognitive_science;organizational_psychology;research_interpretation","","","","",""
"strategic-planner","strategist","controller","opusplan","Sets long-horizon strategy — competitive positioning, portfolio prioritization, scenario/contingency planning, and vision. Use for where-should-we-go. Modes: strategy, portfolio, scenario. Set metadata.mode. NOT for: product backlog/roadmap execution (use product-owner) or C-suite cross-domain synthesis (use /team strategic mode).","strategic_planning;competitive_analysis;vision_development;scenario_planning;portfolio_planning;initiative_prioritization;resource_optimization;strategic_foresight;contingency_planning;strategy_stress_testing","","","","40",""
"support-director","operator","controller","sonnet","Leads customer-facing operations — support strategy/SLA (coordinate), frontline ticket/chat troubleshooting (agent), support ops/tooling (support-ops), escalations, customer-success/onboarding/churn, account growth, advocacy, key relationships, and community. Use for support delivery or customer-success/account/community work. Modes: coordinate, agent, support-ops, escalation, customer-success, account, advocacy, relationship, community. Set metadata.mode. NOT for: sales prospecting/closing (use sales-strategist) or product decisions (use product-owner).","support_strategy;customer_experience_leadership;escalation_management;team_development;process_optimization;tool_implementation;workflow_automation;operational_efficiency;customer_onboarding;adoption_management;success_planning;health_monitoring;proactive_support;account_planning;relationship_management;upsell_cross_sell;renewal_management;account_growth;customer_advocacy;reference_management;case_study_development;testimonial_collection;customer_community;relationship_building;stakeholder_management;partner_management;ecosystem_development;strategic_relationships;community_building;forum_moderation;user_engagement;peer_support_facilitation;incident_command;cross_functional_coordination;customer_recovery","","","","",""
"task-state","core","infrastructure","opus","Manages large task inventories — CSV-based state tracking for 20+ task workflows (60-80% context savings) and splitting/merging of parallel micro-tasks for 15K+ token jobs. Use when a workflow has many tasks to track or consolidate. Modes: state, merge. Set metadata.mode. NOT for: coordinating the work itself (use a controller) or monitoring pipeline progress (use execution-monitor).","csv_state_management;batch_delegation;checkpoint_resume;progress_reporting;parallel_tracking;task_decomposition;result_consolidation;context_optimization","","","","30",""
"team-bootstrap","core","infrastructure","sonnet","Use when initializing team-mode execution and bootstrapping wave-based concurrent-Agent parallel workflows — decomposes the request, creates wave tasks, and spawns the first wave's teammates. NOT for: wrapping a single controller as a wave lead (use team-lead) or standard single-domain execution (use /act).","team_detection;parallelism_analysis;wave_bootstrapping;fallback_handling;session_management;act_delegation","","","","30",""
"team-lead","core","infrastructure","opus","Use when wrapping a controller agent as a team lead for /team wave execution, bridging controller coordination with team teammate protocols.","delegate_mode;team_coordination;task_distribution;peer_messaging;result_aggregation","","","","30",""
"tech-lead","developer","controller","opusplan","Coordinates and leads multi-specialist engineering work — build, refactor, migrate, go/no-go, mentoring. Use for tier 2+ engineering that needs a lead. Modes: coordinate (delivery/risk), implement (complex full-stack build), backend-lead, frontend-lead. Set metadata.mode. NOT for: single-file execution with no coordination (use backend-developer/frontend-developer) or architecture/API-contract design (use architect).","delivery_leadership;sprint_planning;team_coordination;task_delegation;workflow_orchestration;strategic_decisions;escalation_handling;priority_management;risk_assessment;quality_enforcement;cross_functional_collaboration;conflict_resolution;strategic_oversight;go_no_go_decisions;multi_instruction_prioritization;resource_allocation_strategy;milestone_tracking;technical_leadership;team_capacity_planning;complex_implementation;system_design;performance_optimization;debugging;mentoring;code_review;tactical_planning_backend;api_design_leadership;database_coordination;backend_architecture_decisions;frontend_architecture;component_design","","","","40",""
"technical-writer","operator","execution","sonnet","Use when writing technical documentation, creating API references, developing user guides, or maintaining documentation accuracy and consistency.","technical_writing;documentation;content_editing;api_documentation","","","","30",""
"translator","analyst","execution","sonnet","Provides professional translation, localization, and cultural adaptation across languages and content types including legal, technical, literary, and marketing material. Use when work requires accurate cross-language communication with appropriate cultural and contextual fidelity.","translation;localization;cultural_adaptation;terminology_management;back_translation;style_register_matching","","","certified legal document translation requiring notarization, real-time interpretation services","",""
"trigger","core","infrastructure","sonnet","Use when entering the pipeline as the initial entry point, parsing user requests, and routing to the appropriate skill or workflow.","domain_detection;intent_classification;template_matching;preflight_validation;workflow_initialization;analytics_tracking;team_planning_support","","","","50",""
"validator","core","infrastructure","opus","Use when performing final quality gate validation, checking acceptance criteria evidence chains, or producing PASS/FAIL/REVISE verdicts.","coordination_validation;quality_gates;delegation_compliance;acceptance_verification;evidence_chain","","","","40",""
"visual-artist","creator","execution","sonnet","Creates visual art across media — fine-art painting/color/composition, concept art (character/environment design, style guides, visual development), and photography (lighting, camera technique, post-processing). Use for illustration, concept design, or photographic work. Modes: fine-art, concept, photography. Set metadata.mode. NOT for: UI/product visual design (use frontend-developer) or film/video direction (use film-director).","painting_technique;color_theory;art_critique;portfolio_development;art_history;character_concept_design;environment_concept_art;visual_style_development;style_guide_creation;mood_and_atmosphere;art_direction_communication;composition;lighting;post_processing;camera_technique;photojournalism","","","","",""
"wave-reviewer","core","execution","sonnet","Validates a /team wave gate by running the 7-check protocol against outputs/wave_{K}/ artifacts. Returns 1-line verdict (PASS|CONDITIONAL_PASS|FAIL) and writes gate_validations/wave_{K}.yaml. Lead never sees raw evidence.","gate_validation;evidence_audit;regression_checks;cross_wave_consistency","","","","",""
"worldbuilder","writer","execution","sonnet","Use when constructing fictional universes, creating characters with psychological depth, or writing/improving dialogue. Consolidated agent: world (universe design, systems, ecology, culture), character (wound-want-need, arcs, ensemble dynamics), dialogue (subtext, voice differentiation, conversation craft). Set metadata.mode or pass mode=<value> in the invocation.","iceberg_worldbuilding;economic_systems;political_structures;magic_technology_systems;cultural_creation;linguistic_worldbuilding;ecological_thinking;world_as_character;character_creation;psychological_depth;character_arcs;ensemble_dynamics;backstory_design;character_voice;foil_relationships;dialogue_writing;subtext_craft;character_voice_dialogue;dialect_creation;power_dynamics;conversation_design","","","","30",""
